[2026-09-18T08:15:05.582Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789719305581-733386080-Test_Oder_user_.xlsx | File: Name: Test_Oder(user).xlsx, Size: 15165 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:36:43.793Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:36:43.803Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789720603800-972855718-Test_EditProfile_user_.xlsx | File: Name: Test_EditProfile(user).xlsx, Size: 14666 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:36:43.809Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:36:43.811Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789720603810-261305211-Test_Login_user_.xlsx | File: Name: Test_Login(user).xlsx, Size: 60232 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:36:43.816Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:36:43.819Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789720603817-430192332-Test_Oder_user_.xlsx | File: Name: Test_Oder(user).xlsx, Size: 15165 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T08:36:43.825Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T08:36:43.867Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789720603865-147280340-Test_Register_user_.xlsx | File: Name: Test_Register(user).xlsx, Size: 14267 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T09:13:23.821Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T09:13:23.868Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789722803864-798344994-Test_Login_user_.xlsx | File: Name: Test_Login(user).xlsx, Size: 60232 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
[2026-09-18T09:13:23.874Z] IP: ::1 | Type: /api/upload/file | Status: START | Detail: Bắt đầu nhận request | File: No file info
[2026-09-18T09:13:23.877Z] IP: ::1 | Type: /api/upload/file | Status: SUCCESS | Detail: Đã lưu file: http://localhost:5000/uploads/1789722803876-282752939-Test_Oder_user_.xlsx | File: Name: Test_Oder(user).xlsx, Size: 15165 bytes, Mime: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
